"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 29 08:29:53 UTC 2025","Mon Sep 29 08:29:54 UTC 2025","1017","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetCarList","GetCarList - Validate relations parameter includes model.make object","Validates GET /v1/inventory/car with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:12 UTC 2025","Mon Sep 29 08:30:12 UTC 2025","488","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspection","GetInspection - Validate only car(model) field is returned","Validates GET /v1/inspection with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:32 UTC 2025","Mon Sep 29 08:30:33 UTC 2025","772","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Validate API fails when requesting multiple invalid fields","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:03 UTC 2025","Mon Sep 29 08:30:03 UTC 2025","311","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetModelList","GetModelList - Validate nested make object is returned with all default fields","Validates GET /v1/inventory/model with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:31:24 UTC 2025","Mon Sep 29 08:31:24 UTC 2025","296","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetBodyTypeNegative","GetBodyTypeNegative","Validates GET /v1/inventory/body_type with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:46 UTC 2025","Mon Sep 29 08:30:47 UTC 2025","782","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Pass invalid field + relations together","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:13 UTC 2025","Mon Sep 29 08:30:13 UTC 2025","595","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspection","GetInspection - Validate id and car fields are returned","Validates GET /v1/inspection with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:11 UTC 2025","Mon Sep 29 08:30:12 UTC 2025","589","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspection","GetInspection - Validate only car field is returned","Validates GET /v1/inspection with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:30:42 UTC 2025","Mon Sep 29 08:30:43 UTC 2025","728","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetCarListNegative","GetCarListNegative - Pass excluded field with special char","Validates GET /v1/inventory/car with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:55 UTC 2025","Mon Sep 29 08:30:56 UTC 2025","289","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetModelListNegative","GetModelListNegative - Use wrong delimiter","Validates GET /v1/inventory/model with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:31:28 UTC 2025","Mon Sep 29 08:31:28 UTC 2025","299","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetObdsNegative","GetObdsNegative","Validates GET /v1/inventory/obds with dynamic parameters - Negative Test"
"passed","Mon Sep 29 08:30:11 UTC 2025","Mon Sep 29 08:30:11 UTC 2025","521","API_Regression_Suite","Autochek_API_Automation","autochek_api_positive.DynamicResponse.DynamicResponsePositive","autochek_api_positive.DynamicResponse.DynamicResponsePositive","GetInspection","GetInspection - Validate only id field is returned","Validates GET /v1/inspection with dynamic parameters - Positive Test"
"passed","Mon Sep 29 08:31:05 UTC 2025","Mon Sep 29 08:31:06 UTC 2025","466","API_Regression_Suite","Autochek_API_Automation","autochek_api_negative.DynamicResponse.DynamicResponseNegative","autochek_api_negative.DynamicResponse.DynamicResponseNegative","GetInspectionNegative","GetInspectionNegative - Validate API fails when using special characters in fields","Validates GET /v1/inspection with dynamic parameters - Negative Test"
